"LUGAR","lon","lat"
"NUESTRA SEÑORA DE LA LUZ 53             ",-3.751722,40.3859848
"PZ CASTILLA TUNEL                       ",-3.6898603,40.4658571
"MAR CASPIO-MAR DE LAS ANTILLAS          ",-3.6461264,40.473626
"GTA EMILIO CASTELAR SN                  ",-3.6887714,40.4351346
"PO CASTELLANA-PZ CASTILLA               ",-3.6895309,40.4664204
"JOAQUIN TURINA-PZ EMPERATRIZ            ",-3.751555,40.373632
"PO CASTELLANA TUNEL                     ",-3.689517,40.4533356
"PRINCESA 88                             ",-3.7179655,40.4333842
"AV ALBUFERA 309                         ",-3.6326,40.3843699
"ARROYO DEL OLIVAR 52                    ",-3.6624627,40.3923701
"PO MOLINO-EMBAJADORES                   ",-3.6921837,40.3895169
"PO CASTELLANA TUNEL BAJO                ",-3.6865454,40.4791402
"PRINCESA-MELENDEZ VALDES                ",-3.7179777,40.4330247
"AV ARCENTALES SN                        ",-3.612256,40.4346669
"PZ CGDOR CONDE MACEDA TABOADA           ",-3.6432358,40.403087
"PZ CASTILLA SN TUNEL                    ",-3.6898603,40.4658571
"AV INSTIT LIBRE ENSEÑANZA 53            ",-3.6967725,40.4348289
"GTA EMILIO CASTELAR                     ",-3.688975,40.43536
"A 3 KM 7 VIA SERVICIO GASOLINE          ",-3.6251738,40.3910742
"TUNEL PZ CASTILLA                       ",-3.6898603,40.4658571
"M 30 AV PEÑA PRIETA                     ",-3.6668628,40.3999655
"PO SANTA MARIA CABEZA 114               ",-3.7086286,40.391886
"DOCTOR TOLOSA LATOUR RENFE              ",-3.6986972,40.3791146
"HPTAL FUNDACION JIMENEZ DIAZ            ",-3.7183781,40.4392592
"SERRANO JOVER SN TUNEL                  ",-3.714377,40.4296832
"GENOVA 28                               ",-3.6917744,40.4253604
"AEROPUERTO LLEGADA T 4                  ",-3.592411,40.491585
"CGDOR DIEGO DE VALDERRABANO             ",-3.6596442,40.4096019
"PO DELICIAS 154                         ",-3.6952015,40.3917202
"AEROPUERTO LLEGADA T 4 V ACCES          ",-3.5715089,40.4704881
"AV PEÑA PRIETA                          ",-3.6656638,40.401137
"PO CASTELLANA-PZ CASTILLA SUBT          ",-3.6895309,40.4664204
"MENDEZ ALVARO-GTA ABROÑIGAL             ",-3.6735545,40.3874617
"MESON DE PAREDES 3                      ",-3.70511,40.4116785
"PASO INFERIOR PO CASTELLANA             ",-3.689517,40.4533356
"MESON DE PAREDES 12                     ",-3.7050169,40.4112296
"CNO SUERTE FAROLA 115                   ",-3.7060897,40.4163163
"HACIENDA PAVONES-VALDEBERNARDO          ",-3.63196,40.40032
"BASCONES S/N",-3.6954669,40.4684647
"RO ATOCHA 16                            ",-3.7038134,40.4141773
"PO EXTREMADURA-PZ PUERTA ANGEL          ",-3.7330918,40.4119198
"TRES PECES 23",-3.6989491,40.4109934
"AV MORATALAZ-C D VALDERRABANO           ",-3.6510935,40.4058287
"FERRER DEL RIO                          ",-3.671546,40.4348392
"CAÑIZARES 8                             ",-3.7018101,40.4128226
"M 30 KM 25,400 CALZADA 2                ",-3.7224778,40.4210557
"URQUIZA 19                              ",-3.6452655,40.4327832
"EMILIO FERRARI-E COLLANTES              ",-3.641234,40.4313075
"MENDEZ ALVARO-AUTOV M-30 IN             ",-3.6747413,40.391831
"AV ANDALUCIA 66 KM 9,600                ",-3.6927745,40.33793
"PO CASTELLANA 199                       ",-3.6893235,40.4679317
"MAGDALENA 30                            ",-3.7005198,40.4122453
"HERNANI 38-DULCINEA                     ",-3.6997587,40.449784
"BALTANAS 22                             ",-3.7502532,40.3702903
"EDGAR NEVILLE 2                         ",-3.6972508,40.4469684
"SANTA ISABEL 49                         ",-3.695917,40.4094137
"PO PRADO 22                             ",-3.6935458,40.4125558
"ALCALA 662                              ",-3.60763,40.4492
"CAÑADA REAL GALIANA 5                   ",-3.5451564,40.3862428
"PO CASTELLANA-GENERAL YAGUE",-3.6907253,40.4560238
"AEROPUERTO LLEGADA T 4 PARKING          ",-3.5974002,40.4929905
"AV ASTURIAS 69                          ",-3.69977,40.47186
"PO PRADO 18",-3.694118,40.4133967
"MAURICIO RAVEL-M LEGENDRE               ",-3.6857614,40.4722428
"GENOVA-PZ COLON",-3.6909932,40.4251807
"ALBOX 8                                 ",-3.7447688,40.3744853
"PUENTE SAN FERNANDO C 30 SUR            ",-3.6706069,40.3962447
"PO INFA.ISABEL S/N                      ",-3.710578,40.418299
"VALDERRIBAS-MESEJO                      ",-3.6690491,40.4017122
"DANTE GLORIETA                          ",-3.7020899,40.4288413
"AUTOV M-30 EX 12                        ",-3.7224778,40.4210557
"ARIEL-EROS                              ",-3.6792388,40.3930592
"AV ANDALUCIA 66                         ",-3.6927745,40.33793
